name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,initval,was_home_False,was_home_True,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home
James Rodríguez,3,0,1,7,17,0,0,1,1.7142857142857142,75.0,1,0,0,75.0,2.0,1.2857142857142858,0,2,2,2,False
Timothy Castagne,14,1,1,10,18,0,0,0,5.142857142857143,55.0,1,0,1,55.0,3.0,8.857142857142858,3,0,0,0,False
Angelo Ogbonna,1,1,1,19,14,0,0,0,1.8571428571428572,50.0,0,1,1,50.0,2.0,-0.8571428571428572,2,1,1,1,True
Adam Webster,1,1,1,3,5,0,0,0,1.0,45.0,0,1,1,45.0,2.0,0.0,0,2,2,2,True
Antonio Rüdiger,0,1,1,5,3,0,0,0,1.8571428571428572,50.0,1,0,1,50.0,2.0,-1.8571428571428572,1,1,1,1,False
Jorge Luiz Frello Filho,12,0,1,5,3,0,0,1,3.0,50.0,1,0,0,50.0,3.0,9.0,1,1,1,1,False
Lucas Rodrigues Moura da Silva,2,0,1,17,7,0,0,1,2.2857142857142856,70.0,0,1,0,70.0,3.0,-0.2857142857142856,1,1,1,1,True
Steven Bergwijn,1,0,1,17,7,0,0,1,0.5714285714285714,75.0,0,1,0,75.0,1.0,0.4285714285714286,1,1,1,1,True
Alex Iwobi,0,0,1,7,17,0,0,1,1.7142857142857142,60.0,1,0,0,60.0,2.0,-1.7142857142857142,0,2,2,2,False
Ryan Bertrand,2,1,1,16,6,0,0,0,1.7142857142857142,50.0,1,0,1,50.0,2.0,0.2857142857142858,3,1,1,1,False
Reece James,14,1,1,5,3,0,0,0,3.2857142857142856,50.0,1,0,1,50.0,3.0,10.714285714285715,1,1,1,1,False
Stuart Dallas,3,1,1,9,11,0,0,0,4.0,45.0,1,0,1,45.0,3.0,-1.0,0,2,2,2,False
Liam Cooper,0,1,1,9,11,0,0,0,0.5714285714285714,45.0,1,0,1,45.0,1.0,-0.5714285714285714,0,2,2,2,False
Georginio Wijnaldum,2,0,1,11,10,0,0,1,3.2857142857142856,55.0,0,1,0,55.0,3.0,-1.2857142857142856,2,2,2,2,True
Jan Bednarek,1,1,1,16,6,0,0,0,1.7142857142857142,45.0,1,0,1,45.0,2.0,-0.7142857142857142,3,1,1,1,False
Wilfried Zaha,8,0,1,6,16,0,0,1,3.0,70.0,0,1,0,70.0,3.0,5.0,3,1,1,1,True
Declan Rice,2,0,1,19,14,0,0,1,1.8571428571428572,50.0,0,1,0,50.0,2.0,0.1428571428571428,2,1,1,1,True
